"sampleID" "shannon" "chao1" "consequtive" "bray" "jacc"
"200" "sub.535.7.one.year" 2.52506535859612 30 NA NA NA
"201" "sub.638.6.ninemonth" 2.19459386709711 34 NA NA NA
"202" "sub.526.7.one.year" 2.37820425374109 32 NA NA NA
"203" "sub.671.6.ninemonth" 3.30924921974255 43 "sub.671.7.one.year" 0.781033164985688 0.553191489361702
"205" "sub.657.6.ninemonth" 2.81771374566789 31 NA NA NA
"206" "sub.749.5.sixmonth" 2.33485156425679 27 NA NA NA
"207" "sub.663.6.ninemonth" 3.25131796166889 29 "sub.663.7.one.year" 0.644528609790108 0.484848484848485
"208" "sub.667.6.ninemonth" 3.29632613274001 36 NA NA NA
"209" "sub.659.6.ninemonth" 1.85254642024491 25 NA NA NA
"211" "sub.554.7.one.year" 2.67611977163555 36 NA NA NA
"212" "sub.669.6.ninemonth" 2.7993388739838 35 NA NA NA
"214" "sub.790.5.sixmonth" 1.79192408374263 18 NA NA NA
"215" "sub.571.7.one.year" 2.73219919951732 28 NA NA NA
"216" "sub.676.6.ninemonth" 2.11785471333082 29 "sub.676.7.one.year" 0.610515622084465 0.40625
"217" "sub.758.5.sixmonth" 3.44292905577484 32 "sub.758.6.ninemonth" 0.539793536169263 0.371428571428571
"218" "sub.670.6.ninemonth" 2.28822833874923 33 "sub.670.12.sick" 0.414690561619877 0.40625
"219" "sub.781.5.sixmonth" 1.4128833489459 23 NA NA NA
"220" "sub.760.5.sixmonth" 3.01739171583011 32 NA NA NA
"222" "sub.695.6.ninemonth" 2.41623122244883 25 NA NA NA
"223" "sub.665.17.sick" 2.75957175127324 36 "sub.665.19.sick" 0.603359227377703 0.255813953488372
"225" "sub.585.19.sick" 3.27461093076105 38 NA NA NA
"226" "sub.665.19.sick" 3.4785229385708 42 "sub.665.7.one.year" 0.836632012851211 0.613636363636364
"227" "sub.665.18.sick" 1.91965310693685 38 "sub.665.7.one.year" 0.63431983986501 0.658536585365854
"228" "sub.716.6.ninemonth" 3.54187719826691 37 "sub.716.12.sick" 0.952214537755822 0.673913043478261
"230" "sub.733.6.ninemonth" 3.02882473345133 31 NA NA NA
"231" "sub.692.13.sick" 2.4567496327152 32 "sub.692.7.one.year" 0.394323884618364 0.296296296296296
"232" "sub.728.6.ninemonth" 1.56065121155069 23 "sub.728.16.sick" 0.249812791824509 0.48
"233" "sub.793.5.sixmonth" 3.00974092713099 29 "sub.793.6.ninemonth" 0.745280318211267 0.538461538461538
"234" "sub.708.11.sick" 3.84265856179771 39 "sub.708.7.one.year" 0.920903848328371 0.393939393939394
"236" "sub.728.16.sick" 2.17517615649049 23 "sub.728.17.sick" 0.213099592651093 0.407407407407407
"237" "sub.639.7.one.year" 2.38560769048114 32 NA NA NA
"238" "sub.670.12.sick" 2.70571898819341 31 NA NA NA
"239" "sub.728.17.sick" 2.18435511834415 29 NA NA NA
"240" "sub.735.6.ninemonth" 2.73750382927695 30 NA NA NA
"241" "sub.652.7.one.year" 2.45588267456576 29 NA NA NA
"242" "sub.663.7.one.year" 2.97480361889755 31 NA NA NA
"243" "sub.671.7.one.year" 2.64817741602287 34 NA NA NA
"244" "sub.666.7.one.year" 3.76597054998047 35 NA NA NA
"245" "sub.665.7.one.year" 1.68161917784926 22 NA NA NA
"246" "sub.758.6.ninemonth" 3.79344344692069 41 NA NA NA
"247" "sub.777.6.ninemonth" 2.26085405387617 33 NA NA NA
"248" "sub.782.6.ninemonth" 3.20234758425713 34 NA NA NA
"249" "sub.676.7.one.year" 2.24467097325716 33 "sub.676.12.sick" 0.565752227396653 0.34375
"250" "sub.686.7.one.year" 3.2159669509446 28 NA NA NA
"251" "sub.716.12.sick" 2.44528160677344 30 NA NA NA
"252" "sub.676.12.sick" 2.07929180822035 31 NA NA NA
"253" "sub.692.7.one.year" 2.85152702922601 29 NA NA NA
"254" "sub.793.6.ninemonth" 3.70900006329511 39 NA NA NA
"255" "sub.708.7.one.year" 3.58065630496485 31 NA NA NA
"256" "sub.355.12.sick" 0.856168454545887 27 "sub.355.3.twomonth" 0.19204908657495 0.5
"257" "sub.222.5.sixmonth" 3.22557379554989 30 "sub.222.12.sick" 0.43843893071672 0.428571428571429
"258" "sub.355.11.sick" 2.4382150259826 23 "sub.355.1.two.week" 0.796653570670822 0.421052631578947
"259" "sub.278.4.fourmonth" 1.92599971563271 27 "sub.278.5.sixmonth" 0.543456325819249 0.482758620689655
"260" "sub.278.5.sixmonth" 2.44529780478765 26 "sub.278.15.sick" 0.381867526472669 0.433333333333333
"261" "sub.278.15.sick" 1.2176512481603 33 NA NA NA
"262" "sub.272.14.sick" 2.91395840546339 25 "sub.272.5.sixmonth" 0.422324074209228 0.307692307692308
"263" "sub.272.5.sixmonth" 3.28190861233603 30 "sub.272.6.ninemonth" 0.697053564207859 0.357142857142857
"264" "sub.267.12.sick" 2.28987941350634 29 "sub.267.5.sixmonth" 0.30705085699359 0.238095238095238
"265" "sub.267.5.sixmonth" 2.48935733106101 28 "sub.267.6.ninemonth" 0.60212298682284 0.318181818181818
"266" "sub.310.15.sick" 2.82459716862708 40 "sub.310.5.sixmonth" 0.643372652684606 0.411764705882353
"267" "sub.358.14.sick" 2.60110345477514 31 "sub.358.6.ninemonth" 0.71054277920973 0.529411764705882
"268" "sub.16.5.sixmonth" 3.7309326806807 33 "sub.16.6.ninemonth" 0.661668048416515 0.371428571428571
"269" "sub.14.5.sixmonth" 2.68345409277405 20 "sub.14.6.ninemonth" 0.869127568825126 0.6
"270" "sub.8.5.sixmonth" 2.00131569098745 27 "sub.8.6.ninemonth" 0.582923467733218 0.551724137931034
"271" "sub.13.5.sixmonth" 1.59312044688268 33 "sub.13.7.one.year" 0.744904515300001 0.485714285714286
"272" "sub.9.5.sixmonth" 1.59341668326834 16 "sub.9.6.ninemonth" 0.795972866322528 0.541666666666667
"274" "sub.94.11.sick" 3.20555542454569 30 "sub.94.6.ninemonth" 0.756121641862213 0.483870967741936
"275" "sub.90.5.sixmonth" 3.02067086268931 32 "sub.90.13.sick" 0.802656732513112 0.526315789473684
"276" "sub.60.5.sixmonth" 3.14417823873811 37 "sub.60.6.ninemonth" 0.479526727234312 0.387096774193548
"277" "sub.347.5.sixmonth" 2.24688729307066 29 "sub.347.6.ninemonth" 0.720862198090245 0.346153846153846
"278" "sub.222.11.sick" 2.6325586318214 21 "sub.222.3.twomonth" 0.80255130338325 0.35
"279" "sub.89.11.sick" 1.63107878989237 24 "sub.89.12.sick" 0.608034097556899 0.617647058823529
"280" "sub.316.5.sixmonth" 2.85429144373444 28 "sub.316.6.ninemonth" 0.503335828162598 0.56
"281" "sub.367.5.sixmonth" 1.31409989413984 28 "sub.367.6.ninemonth" 0.822481091889072 0.5
"282" "sub.310.5.sixmonth" 3.21624738591873 33 "sub.310.6.ninemonth" 0.62100304609085 0.34375
"283" "sub.144.5.sixmonth" 2.27959136765413 26 "sub.144.6.ninemonth" 0.609899843889776 0.466666666666667
"285" "sub.267.11.sick" 0.877059775436617 17 "sub.267.12.sick" 0.724621985500814 0.421052631578947
"286" "sub.249.4.fourmonth" 2.59151412312875 32 "sub.249.5.sixmonth" 0.783271630853784 0.56
"287" "sub.97.2.one.month" 0.905155289596354 25 "sub.97.3.twomonth" 0.586622866801156 0.5
"288" "sub.164.0.initial" 3.1167802403922 37 "sub.164.2.one.month" 0.516309695557282 0.428571428571429
"289" "sub.159.1.two.week" 2.29970154395336 29 "sub.159.4.fourmonth" 0.767922053005201 0.548387096774194
"290" "sub.355.4.fourmonth" 1.02064230397212 27 "sub.355.6.ninemonth" 0.29145368305407 0.5
"291" "sub.222.2.one.month" 1.67781596833877 18 "sub.222.11.sick" 0.870012371822605 0.476190476190476
"293" "sub.222.3.twomonth" 2.02644380037329 22 "sub.222.4.fourmonth" 0.769482309793411 0.48
"295" "sub.198.3.twomonth" 1.57888695250071 13 "sub.198.4.fourmonth" 0.971673806884568 0.608695652173913
"296" "sub.278.11.sick" 1.40978705475257 24 "sub.278.3.twomonth" 0.572943351823836 0.434782608695652
"297" "sub.144.11.sick" 1.90405028080773 24 "sub.144.5.sixmonth" 0.319325462785378 0.416666666666667
